ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
39683,At the Gates of Loyang,2009,1,4,120,10,9766,7,,,,
33160,Endeavor,2009,3,5,90,12,9088,7,,,,
31594,In the Year of the Dragon,2007,2,5,100,12,10791,7,,,,
24480,The Pillars of the Earth,2006,2,4,120,12,16327,7,,,,
204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,1,8,120,10,4138,7,,,,
172,For Sale,1997,3,6,30,10,23898,7,,,,
144592,Bruxelles 1893,2013,2,5,125,13,4723,7,,,,
9217,Saint Petersburg,2004,2,4,60,10,14545,7,,,,
36932,Claustrophobia,2009,2,2,45,14,6650,7,,,,
90137,Blood Bowl: Team Manager - The Card Game,2011,2,4,120,14,10336,7,,,,
40765,Clash of Cultures,2012,2,4,240,14,5185,7,,,,
256226,Azul: Stained Glass of Sintra,2018,2,4,45,8,8824,7,,,,
184921,Bunny Kingdom,2017,2,4,60,12,7627,7,,,,
197376,Charterstone,2017,1,6,75,14,11747,7,,,,
21348,Ticket to Ride: Märklin,2006,2,5,60,8,8717,7,,,,
121,Dune,1979,2,6,180,12,5491,7,,,,
70323,King of Tokyo,2011,2,6,30,8,57621,7,,,,
71,Civilization,1980,2,7,360,12,7111,7,,,,
257499,Arkham Horror (Third Edition),2018,1,6,180,14,4896,7,,,,
54625,Space Hulk (Third Edition),2009,2,2,60,12,6707,7,,,,
250458,Gùgōng,2018,1,5,90,12,6130,7,,,,
186751,Mythic Battles: Pantheon,2017,2,4,90,14,2543,8,,,,
154809,Nippon,2015,2,4,120,12,4196,7,,,,
265736,Tiny Towns,2019,1,6,60,14,10174,7,,,,
166669,San Juan (Second Edition),2014,2,4,60,10,5841,7,,,,
246192,Gizmos,2018,2,4,50,14,7386,7,,,,
198773,Codenames: Pictures,2016,2,8,15,10,17032,7,,,,
243,Advanced Squad Leader,1985,2,2,480,14,3490,7,,,,
50,Lost Cities,1999,2,2,30,10,37280,7,,,,
283155,Calico,2020,1,4,45,13,2986,8,,,,
124708,Mice and Mystics,2012,1,4,90,7,16743,7,,,,
170771,Sword & Sorcery,2017,1,5,90,12,3632,8,,,,
235802,Too Many Bones: Undertow,2018,1,2,180,12,1651,8,,,,
314040,Pandemic Legacy: Season 0,2020,2,4,60,14,1536,8,,,,
63628,The Manhattan Project,2012,2,5,120,13,9105,7,,,,
55670,Macao,2009,2,4,100,12,6962,7,,,,
66188,Fresco,2010,2,4,60,10,11842,7,,,,
